,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
206,100388892,Utredning av omstilling i Halden med og uten videreføring av IFEs øvrige forskningsaktiviteter etter dekommisjonering av Haldenreaktoren,"Bremnes , Helge / Hervik , Arild / Heen , Knut P.",URN:NBN:no-nb_digibok_2018090607092,oai:nb.bibsys.no:991404796354702202,0268ce3c5211448ea1156f627a8d5ecd,,Molde,20130101,2013,Møreforsking Molde,nob,kjernekraft / nukleær / kraft / energi / atomenergi / økonomi / kjernereaktorer / atomreaktorer / ife / institutt / energiteknikk / nedleggelse / avvikling / virsomhet / mto-aktivitet / menneske-teknologi-organisasjon / mennesker / teknologi / organisasjoner / mto / næringsliv / forskning / ikt / samfunnsøkonomi,,,Uklassifisert,digibok
207,100246210,Innstilling fra komiteen til utredning av en ny studieretning i industriell økonomi ved Norges tekniske høgskole : innstilling februar 1984,,URN:NBN:no-nb_digibok_2015042108186,oai:nb.bibsys.no:998610522344702202,76d1f1f7714d20eb5f6e9d98fc3ffde9,,,19840101,1984,Norges tekniske høgskole,nob,Økonomiutdanning,,,Faglitteratur,digibok
208,100215198,Komiteen til utredning av spørsmålet om eventuell opprettelse av et universitet i Bergen : 1938-1939,,URN:NBN:no-nb_digibok_2014072208102,oai:nb.bibsys.no:998610679084702202,e3da3b6913cc606e63adcc1a974deca6,,,19400101,1940,[s.n.],mul / nob / nno,Universiteter / universiteter / norge / historie,,,Uklassifisert,digibok
209,100291065,Markedsordningen for korn : utredning av partssammensatt arbeidsgruppe : instillingen avgitt 17. april 1998,,URN:NBN:no-nb_digibok_2016041808098,oai:nb.bibsys.no:990310337094702202,08f0cf1c343b991c6a739fadec6a6a5c,,[Oslo],19980101,1998,[Arbeidsgruppen],nob,,,,Faglitteratur,digibok
210,100109104,Innstilling fra utvalget til utredning av lærerutdanning i samfunnsfag ved Det samfunnsvitenskapelige fakultet ved Universitetet i Oslo,,URN:NBN:no-nb_digibok_2012090708074,oai:nb.bibsys.no:999400118244702202,fbc56144699786c439209223dffab1d2,,[Oslo],19780101,1978,[Det samfunnsvitenskapelige fakultet],nob,,,,Uklassifisert,digibok
211,100301873,Hvorfor - fordi : utredning av forskjellige skattespørsmaal,"Hornsrud , Christopher",URN:NBN:no-nb_digibok_2016071206052,oai:nb.bibsys.no:990008718934702202,3eb85d3386282851a03b3285f2588cc7,,Kristiania,19240101,1924,Det Norske arbeiderpartis forlag,nob,,,,Uklassifisert,digibok
212,100261826,Den språklige faktor : pedagogisk-psykologisk utredning av barn med minoritetsspråklig bakgrunn,"Aagaard , Knut Erik",URN:NBN:no-nb_digibok_2015072108127,oai:nb.bibsys.no:991128670654702202,cc6326e98127a45359bdeb746d1b7f8c,,[Oslo],20110101,2011,"Psykologisk institutt, Det samfunnsvitenskapelige fakultet, Universitetet i Oslo",nob,Education diagnosis / Learning disabilities / Minority groups / Native language / psykologi / pedagogisk-psykologiske / tjenester / ppt / utredningminoritetsspråklige / elever / språk,371.71,,Faglitteratur,digibok
213,100192348,Innstilling fra Utvalget for utredning av spørsmålet om Norges hjelp til utviklingslandene,,URN:NBN:no-nb_digibok_2014021805038,oai:nb.bibsys.no:990703967444702202,ea94ba46951f6faad34d9700fc8dc93e,,Oslo,19610101,1961,Utenriksdepartementet,nob,,,,Uklassifisert,digibok
214,100368406,Trygg sjømat - risikofaktorer i verdikjeden fra fjord til bord for villfanget og oppdrettet sjømat : en utredning av kunnskapsbehovet,,URN:NBN:no-nb_digibok_2018040648075,oai:nb.bibsys.no:990810777694702202,e9b43e7422fba1535abb048a7f5e0413,,Oslo,20080101,2008,Norges forskningsråd,nob,Seafood / sjømat / risikofaktorer / fisk / oppdrett / havbruk,,,Uklassifisert,digibok
215,100036542,La hundre blomster blomstre? : en utredning av spørsmålet om et kompetansesenter for pasienter med nevromuskulære sykdommer,"Melsom , Patricia Ann / Grue , Lars",URN:NBN:no-nb_digibok_2011011708035,oai:nb.bibsys.no:999100883304702202,5269f7212b454d2e73d334280a68cd64,,Oslo,19910101,1991,Institutt for sosialforskning,nob,Neuromuscular diseases / pedagogikk / muskelsyke / nevromuskulære / sykdommer / nevrologi / kompetansesenter / muskelsykdommer / kompetansesentre,,,Uklassifisert,digibok
216,100286224,"Østnorsk helsenett : utredning av permanent organisasjon, selskapsform og forretningsplan","Hofstad , Tormod",URN:NBN:no-nb_digibok_2016030308142,oai:nb.bibsys.no:990227256104702202,f25846acf7bc6ee3f5e17666f0bec212,8278461163,Trondheim,20010101,2001,Kompetansesenter for IT i helsevesenet,nob,,,,Uklassifisert,digibok
217,100210530,Innstilling fra utvalget til utredning av fiskernes pensjons- og trygdeforhold,,URN:NBN:no-nb_digibok_2014061206172,oai:nb.bibsys.no:999826161394702202,fdb2849850090e46025afd6054061cc2,,[S.l.],19620101,1962,[s.n.],nob,,,,Uklassifisert,digibok
218,100337025,"Garantier för konsumentvaror och efterköpsservice : ett nordiskt perspektiv på EU-kommissionens ""green paper"" : utredning av Lena Olsen och ställingstaganden av @AK-Konsument juridiska styrgrupp","Olsen , Lena",URN:NBN:no-nb_digibok_2009090100027,oai:nb.bibsys.no:999505340484702202,8e8d809836c405e8c7f80082e7cee9c5,9291205869,Köbenhavn,19940101,1994,Nordiska ministerrådet,swe,Forbrukerrådgivning / juss/økonomi / forbrukervern / eu / norden,,,Faglitteratur,digibok
219,100086994,Mål og retningslinjer for reformer i lokalforvaltningen : delutredning av 23. september 1974 fra Hovedkomitéen for reformer i lokalforvaltningen,"Juel , Dagfin",URN:NBN:no-nb_digibok_2012061906136,oai:nb.bibsys.no:999107540124702202,2deaa4433c3eab41367eee95c8e465db,8200701778,Oslo,19740101,1974,Kommunaldepartementet,nob,fylkesforvaltning / kommuneforvaltning,352,,Faglitteratur,digibok
