,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
2001,100561616,Enkle signaler i en kompleks verden : forslag til et nasjonalt indikatorsett for bærekraftig utvikling : utredning fra et utvalg oppnevnt ved Kronprinsregentens resolusjon av 5. desember 2003 : avgitt til Finansdepartementet 2. mars 2005,"Alfsen , Knut H.",URN:NBN:no-nb_digibok_2009070801173,oai:nb.bibsys.no:990505364354702202,6dec681bdee6ee8738af99e220bd56b8,8258308289,Oslo,20050101,2005,"Statens forvaltningstjeneste, Informasjonsforvaltning",nob,Bærekraftig utvikling / Miljøindikatorer / Utredninger / Norge / bærekraftig / utvikling / miljø / velferd / samfunnsutvikling / indikatorer / miljøøkonomi / kulturminner / biologisk / mangfold / helse- / miljã¸farlige / kjemikalier,333.7,,Faglitteratur,digibok
2002,100050408,"Bruk og vern i Lomsdal-Visten : høring av: fylkesdelplan etter plan- og bygningsloven, verneplan etter naturvernloven, konsekvensutredning etter plan- og bygningsloven","Pedersen , Halvard R.",URN:NBN:no-nb_digibok_2011070408040,oai:nb.bibsys.no:990609394864702202,93afa096e72486f6acec7d71b5bd8bb2,8292558217,,20060101,2006,Fylkesmannen i Nordland,nob,Reindriftsnæring / Naturressurser / Forvaltning / vassdragsvern / konsekvensutredning / forvatningsplan / verneplan / nasjonalpark / landskapsvernområde / helgeland,333.72,,Faglitteratur,digibok
2003,100051787,Eiendomsmegling : utredning fra Eiendomsmeglingslovutvalget oppnevnt ved kronprinsregentens resolusjon 2. april 2004 : avgitt til Finansdepartementet 10. januar 2006,"Bråthen , Tore",URN:NBN:no-nb_digibok_2011081208159,oai:nb.bibsys.no:990602258234702202,4c06a74638927fc22192b49ead3a16a9,8258308629,Oslo,20060101,2006,"Departementenes servicesenter, Informasjonsforvaltning",nob,,346.043,,Faglitteratur,digibok
2004,100052213,E39/580 Rådal-Sørås : konsekvensutredning : deltema kulturminne og kulturmiljø,"Adriansen , Jan",URN:NBN:no-nb_digibok_2011082309070,oai:nb.bibsys.no:990715815104702202,a1755f737e7eb29661a9fb1f9427cb64,,Leikanger,20060101,2006,Statens vegvesen,nob,,,,Uklassifisert,digibok
2005,100054347,Delutredning C : Kultur og idrett,"Søfting , Erika / Samuelsen , Roar",URN:NBN:no-nb_digibok_2011090108029,oai:nb.bibsys.no:990611720734702202,fc8a54cd136b488438c92597d13e484d,,Bodø,20060101,2006,Nordlandsforskning,nob,kultur,,,Uklassifisert,digibok
2006,100054358,Kommunestruktur i Salten. nr 8/2006 : Delutredning E : Tjenesteproduksjon og økonomi,"Brastad , Bjørn",URN:NBN:no-nb_digibok_2011090108044,oai:nb.bibsys.no:990618442924702202,a5c5ca4395aa299cbcb04d592d8e1afd,,Bodø,20060101,2006,Nordlandsforskning,nob,kommunesammenslåinger / storkommuner / regioner,,,Uklassifisert,digibok
2007,100059548,Forslag til endringer i beskatningen av norsk utenriks sjøfart : utredning fra et utvalg oppnevnt ved kongelig resolusjon 17. desember 2004 : avgitt til Finansdepartementet 7. mars 2006,"Schjelderup , Guttorm",URN:NBN:no-nb_digibok_2011100308059,oai:nb.bibsys.no:990606778214702202,4e0b66b7ced56c50bcb4474cc2c88b7e,8258308696,Oslo,20060101,2006,"Departementenes servicesenter, Informasjonsforvaltning",nob,skattepolitikk / skjøfart / utenriksfart / skipsfart / norge,343.052,,Faglitteratur,digibok
2008,100059970,"Fornærmede i straffeprosessen - nytt perspektiv og nye rettigheter : utredning fra et utvalg som skal utrede styrking av fornærmedes og pårørendes straffeprosessuelle stilling, oppnevnt ved kongelig resolusjon 2. juli 2004 : avgitt til Justis- og politidepartementet 8. mai 2006","Kallerud , Knut H. / Bjerke , Regine Ramm",URN:NBN:no-nb_digibok_2011100508127,oai:nb.bibsys.no:990608538674702202,28b41e2a3af0ff48d02f106fc4f86523,8258308823,Oslo,20060101,2006,"Departementenes servicesenter, Informasjonsforvaltning",nob,straffeprosess / fornærmede / rettigheter / pårørende / etterlatte / familie / offer / ofre,345.05,,Faglitteratur,digibok
2009,100060007,Fellespensjonskasser : utredning nr. 14 fra Banklovkommisjonen : utredning fra Banklovkommisjonen oppnevnt ved kongelig resolusjon 6. april 1990 : avgitt til Finansdepartementet 2. mai 2006,"Selvig , Erling",URN:NBN:no-nb_digibok_2011100608014,oai:nb.bibsys.no:990609063244702202,60bfc82a919266b2c1fdcad136554b0b,8258308874,Oslo,20060101,2006,"Departementenes servicesenter, Informasjonsforvaltning",mul / nob / eng,pensjonsordninger / norge / tjenestepensjon / innskuddspensjonsloven,346.086,,Faglitteratur,digibok
2010,100087046,"Kvaliteten på norske konsekvensutredninger : gjennomgang, kvalitetsvurdering og metodeutvikling","Tesli , Arne / Thomassen , Jørn / Sørensen , Jan",URN:NBN:no-nb_digibok_2012062006055,oai:nb.bibsys.no:990610450804702202,b8f67c0b65ea868a16a8cec3cb484d67,8270716170,[Oslo],20060101,2006,NIBR/Miljøalliansen,nob,Kvalitetssikring / Metoder / Utvikling / Norge / miljø / naturressurser / konsekvensutredninger / forebyggende / tiltak,333.7,,Faglitteratur,digibok
